codigo,nombre,vbp,di_domestica
311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",31534.625000000004,138.963
311411,Congelación de frutas y verduras,6971.982999999999,165.887
311412,Congelación de alimentos preparados,1032.0349999999999,340.86699999999996
311421,Deshidratación de frutas y verduras,1078.8989999999994,789.3419999999996
311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,45271.38700000002,6963.860000000001
311423,Conservación de alimentos preparados por procesos distintos a la congelación,10183.313,1162.5719999999997
311511,Elaboración de leche líquida,48094.47,4260.214000000003
311512,"Elaboración de leche en polvo, condensada y evaporada",19776.35900000001,7283.573000000006
311513,Elaboración de derivados y fermentos lácteos,70380.22800000002,3860.7250000000017
311520,Elaboración de helados y paletas,8710.566,0.212
311611,"Matanza de ganado, aves y otros animales comestibles",247817.685,29299.63600000002
311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles",20006.83,11670.391999999998
311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales  comestibles",26172.709,1527.3439999999996
311614,Elaboración de manteca y otras grasas animales comestibles,3955.188000000002,835.0559999999996
311710,Preparación y envasado de pescados y mariscos,10234.624,2023.8569999999986
311811,Panificación industrial,33990.885,2509.6110000000003
311812,Panificación tradicional,37881.462999999996,11.004000000000001
311820,Elaboración de galletas y pastas para sopa,28499.786999999997,1515.5140000000001
311830,Elaboración de tortillas de maíz y molienda de nixtamal,208349.382,16093.940000000006
311910,Elaboración de botanas,34920.054,657.2209999999999
311921,Beneficio del café,6120.839999999998,5546.124999999999
311922,Elaboración de café tostado y molido,3473.049,0.576
311923,Elaboración de café instantáneo,7415.366,218.23199999999997
311924,Preparación y envasado de té,295.82899999999995,11.09
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",24577.21100000001,15599.774000000007
311940,Elaboración de condimentos y aderezos,11938.760999999999,2588.3529999999996
311991,Elaboración de gelatinas y otros postres en polvo,2266.813,382.73500000000007
311992,Elaboración de levadura,1646.9400000000005,983.3729999999999
311993,Elaboración de alimentos frescos para consumo inmediato,1877.847,78.624
311999,Elaboración de otros alimentos,5288.004999999999,616.377
312111,Elaboración de refrescos y otras bebidas no alcohólicas,99144.00899999998,2684.703
312112,Purificación y embotellado de agua,17948.348,1437.5459999999994
312113,Elaboración de hielo,3156.2249999999995,1287.1309999999999
312120,Elaboración de cerveza,57388.288,691.463
312131,Elaboración de bebidas alcohólicas a base de uva,3231.004000000001,442.769
312132,Elaboración de pulque,1772.004,0.0
312139,Elaboración de sidra y otras bebidas fermentadas,119.77099999999999,0.0
312141,Elaboración de ron y otras bebidas destiladas de caña,1958.13,431.35900000000004
312142,Elaboración de bebidas destiladas de agave,19038.744,0.0
312143,Obtención de alcohol etílico potable,321.936,236.85000000000005
312149,Elaboración de otras bebidas destiladas,928.0470000000014,25.560000000000002
312210,Beneficio del tabaco,502.19600000000014,224.7970000000001
312221,Elaboración de cigarros,18833.591,131.82
312222,Elaboración de puros y otros productos de tabaco,224.87300000000002,0.0
313111,Preparación e hilado de fibras duras naturales,1676.5889999999995,695.2060000000001
313112,Preparación e hilado de fibras blandas naturales,7640.582999999996,3342.6890000000026
313113,Fabricación de hilos para coser y bordar,4742.9839999999995,3534.8560000000075
313210,Fabricación de telas anchas de trama,19997.956999999988,14594.842000000017
313220,Fabricación de telas angostas de trama y pasamanería,2842.010000000002,1582.2119999999993
313230,Fabricación de telas no tejidas (comprimidas),6057.022000000002,3288.793000000002
313240,Fabricación de telas de punto,4476.277000000002,918.8359999999996
313310,Acabado de productos textiles,2139.9920000000147,1066.0709999999997
313320,Fabricación de telas recubiertas,2913.3820000000005,1923.4389999999999
314110,Fabricación de alfombras y tapetes,2045.7749999999992,544.9319999999999
314120,"Confección de cortinas, blancos y similares",14932.615,3448.5549999999994
314911,Confección de costales,2773.2969999999996,1960.769999999999
314912,Confección de productos de textiles recubiertos y de materiales sucedáneos,800.106,335.41599999999994
314991,"Confección, bordado y deshilado de productos textiles",2204.394,407.21399999999994
314992,Fabricación de redes y otros productos de cordelería,5799.789999999999,973.1469999999999
314993,Fabricación de productos textiles reciclados,1534.4059999999993,364.99700000000007
314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte,5235.795,70.13
315110,Fabricación de calcetines y medias de punto,4176.468,232.749
315191,Fabricación de ropa interior de punto,1801.102,57.785
315192,Fabricación de ropa exterior de punto,15035.858999999999,466.7169999999998
315210,"Confección de prendas de vestir de cuero, piel y de materiales sucedáneos",253.073,14.238
315221,Confección en serie de ropa interior y de dormir,15040.930000000004,609.0409999999997
315222,Confección en serie de camisas,7200.222,494.78099999999995
315223,Confección en serie de uniformes,9384.180999999999,2787.3089999999993
315224,Confección en serie de disfraces y trajes típicos,845.465,18.649
315225,Confección de prendas de vestir sobre medida,8622.648,185.494
315229,Confección en serie de otra ropa exterior de materiales textiles,60806.076000000015,5779.636999999999
315991,Confección de sombreros y gorras,1085.005,72.23600000000002
315999,Confección de otros accesorios y prendas de vestir no clasificados en otra parte,2717.8790000000004,227.48499999999987
316110,Curtido y acabado de cuero y piel,9426.042000000003,6842.4070000000065
316211,Fabricación de calzado con corte de piel y cuero,24070.618,2136.0130000000004
316212,Fabricación de calzado con corte de tela,1666.9050000000002,19.454
316213,Fabricación de calzado de plástico,3243.688,5.348
316214,Fabricación de calzado de hule,887.108,219.47699999999992
316219,Fabricación de huaraches y calzado de otro tipo de materiales,1323.5590000000002,0.0
316991,"Fabricación de bolsos de mano, maletas y similares",2027.2309999999993,179.78500000000003
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",4622.193000000002,848.9819999999997
