Mineral,Año,Producción en millones de pesos a precios corriente,Volumen de producción en toneladas métricas,,Mineral,Gráfito,
Barita,2011,188.9671,134727,,,,
Fluorita,2011,2533.103,1206907,,,,
Silice,2011,1232.1379,2542143,,,,
Oro,2012,68254.54,96.65,,,,
Plata,2012,59242.67,4496.393,,,,
Plomo,2012,5711.383,210382,,,,
Cobre,2012,45945.28,439531,,,,
Zinc,2012,12816.929,500125,,,,
Manganeso,2012,537.7879,188294,,,,
Gráfito,2012,19.36718,7520,,,,
Barita,2012,188.18076,139997,,,,
Fluorita,2012,3064.955,1237091,,,,
Silice,2012,1740.597,3592813,,,,
Oro,2013,56796.04,97.967,,,,
Plata,2013,47365.88,4860.923,,,,
Plomo,2013,5481.19,200362,,,,
Cobre,2013,38219.28,409172,,,,
Zinc,2013,10269.297,420915,,,,
Manganeso,2013,645.1985,211559,,,,
Gráfito,2013,18.86389,7024,,,,
Barita,2013,165.5742,119402,,,,
Fluorita,2013,2939.336,1210477,,,,
Silice,2013,1428.887,2937949,,,,
Oro,2014,53131.44,98.166,,,,
Plata,2014,38478.83,4729.407,,,,
Plomo,2014,5480.659,196746,,,,
Cobre,2014,41228.66,452419,,,,
Zinc,2014,12924.057,449146,,,,
Manganeso,2014,624.4791,235686,,,,
Gráfito,2014,26.10116,9160,,,,
Barita,2014,212.1465,130914,,,,
Fluorita,2014,2697.809,1109721,,,,
Silice,2014,1243.3895,2548336,,,,
Oro,2015,72844.8716,123.364,,,,
Plata,2015,39597.1495,4959.383,,,,
Plomo,2015,6005.125,212964,,,,
Cobre,2015,42149.88,485528,,,,
Zinc,2015,13861.594,454626,,,,
Manganeso,2015,468.0133,217466,,,,
Gráfito,2015,22.362411,6524,,,,
Barita,2015,582.1742,271697,,,,
Fluorita,2015,1430.3568,624574,,,,
Silice,2015,855.1809,1750548,,,,
Oro,2016,87662.67,116.924,,,,
Plata,2016,42225.73,4109.608,,,,
Plomo,2016,5573.021,159044,,,,
Cobre,2016,44598.99,490999,,,,
Zinc,2016,15282.653,384248,,,,
Manganeso,2016,772.393,205645,,,,
Gráfito,2016,15.237746,3839,,,,
Barita,2016,354.6831,156854,,,,
Fluorita,2016,2049.7,656231,,,,
Silice,2016,1062.0464,2175429,,,,
Oro,2017,77354.52,100.989,,,,
Plata,2017,41721.82,4000.075,,,,
Plomo,2017,7260.876,165654,,,,
Cobre,2017,53917.8,463349,,,,
Zinc,2017,21952.44,401479,,,,
Manganeso,2017,1050.8687,211510,,,,
Gráfito,2017,7.617272,1746,,,,
Barita,2017,774.0173,359912,,,,
Fluorita,2017,2345.501,724380,,,,
Silice,2017,453.3853,2355909,,,,
Oro,2018,71720.67,91.237,,,,
Plata,2018,35863.66,3694.009,,,,
Plomo,2018,5644.31,131759,,,,
Cobre,2018,59371.8999,473612,,,,
Zinc,2018,21500.35,381521,,,,
Manganeso,2018,1273.46,209023,,,,
Gráfito,2018,24.528407,4130,,,,
Barita,2018,792.1589,366234,,,,
Fluorita,2018,3820.047,1182058,,,,
Silice,2018,493.1338,2511246,,,,
Oro,2019,63166.26,73.451,,,,
Plata,2019,36650.56,3498.483,,,,
Plomo,2019,5791.828,149054,,,,
Cobre,2019,56194.9,486903,,,,
Zinc,2019,16006.917,325276,,,,
Manganeso,2019,1020.3742,218902,,,,
Gráfito,2019,9.87485,1591,,,,
Barita,2019,963.0649,378295,,,,
Fluorita,2019,3399.899,1231465,,,,
Silice,2019,1637.582,2671422,,,,
Oro,2020,87841.42,71.704,,,,
Plata,2020,54383.33,3809.144,,,,
Plomo,2020,7046.485,176249,,,,
Cobre,2020,66256.29,491926,,,,
Zinc,2020,19166.177,394254,,,,
Manganeso,2020,942.1115,218606,,,,
Gráfito,2020,9.478483,1461,,,,
Barita,2020,1171.60463,372262,,,,
Fluorita,2020,2598.494,914597,,,,
Silice,2020,1541.3118,2514378,,,,
Oro,2021,95193.09,80.989,,,,
Plata,2021,68432.73,4175.955,,,,
Plomo,2021,8201.757,182230,,,,
Cobre,2021,92889.48,472767,,,,
Zinc,2021,24346.6467,395066,,,,
Manganeso,2021,956.3623,220560,,,,
Gráfito,2021,11.343821,1778,,,,
Barita,2021,1010.0893,320642,,,,
Fluorita,2021,3701.359,1007118,,,,
Silice,2021,1633.428,2664642,,,,
Oro,2022,97099.05,83.482,,,,
Plata,2022,55667.38,3941.329,,,,
Plomo,2022,6172.182,142774,,,,
Cobre,2022,86228.66,486076,,,,
Zinc,2022,22474.98,319438,,,,
Manganeso,2022,1176.3771,220745,,,,
Gráfito,2022,12.570148,1976,,,,
Barita,2022,997.4219,305270,,,,
Fluorita,2022,4504.038,1000626,,,,
Silice,2022,2475.41,4038190,,,,
Oro,2023,77494.77,70.059,,,,
Plata,2023,47946.08,3593.209,,,,
Plomo,2023,5213.105,134355,,,,
Cobre,2023,76303.11,508804,,,,
Zinc,2023,14655.324,282974,,,,
Manganeso,2023,835.9435,225211,,,,
Gráfito,2023,8.25944,1297,,,,
Barita,2023,852.677,295989,,,,
Fluorita,2023,6228.361,1162591,,,,
Silice,2023,2253.184,3675666,,,,
Oro,2024,96049.8451,68.009,,,,
Plata,2024,68240.57,4077.918,,,,
Plomo,2024,6543.19,172130,,,,
Cobre,2024,82654.85,488682,,,,
Zinc,2024,21375.813,412501,,,,
Manganeso,2024,900.86214,183273,,,,
Gráfito,2024,4.488099,706,,,,
Barita,2024,701.4029,244269,,,,
Fluorita,2024,7354.173801,1505071,,,,
Silice,2024,1870.574,3051507,,,,
