anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
1995,fluorita,E1 Espato fluor (crudo),23708000.0,Estados Unidos,0.3995,0.0,0.3995,12
1995,fluorita,E2 Fluoroquimica,89756000.0,Estados Unidos,0.7034,0.0,0.7034,10
1995,grafito,E1 Grafito natural,2264000.0,Estados Unidos,0.9881,0.0,0.9881,6
1995,grafito,E2 Grafito artificial/prep.,17075000.0,Estados Unidos,0.9974,0.0,0.9974,8
1995,grafito,E3 Electrodos/articulos de carbono,23514000.0,Estados Unidos,0.2809,0.0,0.2809,23
1995,manganeso,E1 Mena/concentrado,9596000.0,Estados Unidos,0.3647,0.0,0.3647,13
1995,manganeso,E2 Ferroaleaciones,31864000.0,Estados Unidos,0.8762,0.0,0.8762,13
1995,manganeso,E3 Quimicos/metal,1771000.0,Indonesia,0.3286,0.0,0.2134,13
1995,oro,E1 Mena/concentrado,13000.0,Estados Unidos,1.0,0.0,1.0,1
1995,oro,E2 Bruto/semilabrado,138916000.0,Estados Unidos,0.8109,0.0,0.8109,3
1995,oro-plata (manufacturas),E4 Joyeria/orfebreria,101540000.0,Estados Unidos,0.902,0.0,0.902,60
1995,plata,E1 Mena/concentrado,6883000.0,Estados Unidos,1.0,0.0,1.0,1
1995,plata,E2 Bruto/semilabrado,300763000.0,Estados Unidos,0.8235,0.0,0.8235,13
1995,plomo,E1 Mena/concentrado,14708000.0,Suiza,0.4633,0.0,0.0517,4
1995,plomo,E2 Metal en bruto/refinado,68577000.0,Estados Unidos,0.6307,0.0,0.6307,18
1995,plomo,E3 Semimanufacturas,79000.0,Cuba,0.6456,0.0,0.3544,2
1995,plomo,E4 Manufacturas,1493000.0,Estados Unidos,0.9605,0.0,0.9605,8
1995,silice,E1 Arena silica/cuarzo,266000.0,Estados Unidos,0.6917,0.0,0.6917,7
1995,silice,E2 Silicio/ferrosilicio/SiO2,682000.0,Estados Unidos,0.6745,0.0,0.6745,10
1995,zinc,E1 Mena/concentrado,69328000.0,Suiza,0.2645,0.0,0.0583,9
1995,zinc,E2 Metal en bruto/refinado,101060000.0,Estados Unidos,0.7904,0.0,0.7904,16
1995,zinc,E3 Semimanufacturas,44670000.0,Estados Unidos,0.9869,0.0,0.9869,14
1995,zinc,E4 Manufacturas,1442000.0,Estados Unidos,0.8266,0.0,0.8266,16
1996,barita,E1 Crudo/molido,7762014.0,Estados Unidos,0.8934,0.0,0.8934,5
1996,barita,E2 Quimicos de bario,5337880.0,Estados Unidos,0.9997,0.0,0.9997,3
1996,cobre,E1 Mena/concentrado,15994984.0,China,0.5391,0.5391,0.2364,5
1996,cobre,E2 Metal en bruto/refinado,394431420.0,Estados Unidos,0.5835,0.0,0.5835,15
1996,cobre,E3 Semimanufacturas,201636893.0,Estados Unidos,0.7593,0.0,0.7593,47
1996,cobre,E4 Manufacturas,37774019.0,Estados Unidos,0.9449,0.0004,0.9449,40
1996,fluorita,E1 Espato fluor (crudo),20073116.0,Estados Unidos,0.3057,0.0,0.3057,18
1996,fluorita,E2 Fluoroquimica,117694924.0,Estados Unidos,0.6735,0.0,0.6735,14
1996,grafito,E1 Grafito natural,2075280.0,Estados Unidos,0.9548,0.0,0.9548,9
1996,grafito,E2 Grafito artificial/prep.,23634821.0,Estados Unidos,0.9373,0.0,0.9373,11
1996,grafito,E3 Electrodos/articulos de carbono,30584127.0,Estados Unidos,0.384,0.0,0.384,25
1996,manganeso,E1 Mena/concentrado,4363511.0,Estados Unidos,0.6328,0.0,0.6328,11
1996,manganeso,E2 Ferroaleaciones,38492952.0,Estados Unidos,0.9226,0.0,0.9226,14
1996,manganeso,E3 Quimicos/metal,3379504.0,Singapur,0.3976,0.0,0.0179,17
1996,oro,E1 Mena/concentrado,8439.0,Estados Unidos,1.0,0.0,1.0,1
1996,oro,E2 Bruto/semilabrado,234996426.0,Estados Unidos,0.9066,0.0,0.9066,3
1996,oro-plata (manufacturas),E4 Joyeria/orfebreria,162060650.0,Estados Unidos,0.8935,0.0,0.8935,62
1996,plata,E1 Mena/concentrado,17565198.0,Estados Unidos,1.0,0.0,1.0,3
1996,plata,E2 Bruto/semilabrado,327489363.0,Estados Unidos,0.4968,0.0,0.4968,15
1996,plomo,E1 Mena/concentrado,14091348.0,Canada,0.529,0.0,0.3106,4
1996,plomo,E2 Metal en bruto/refinado,63825757.0,Estados Unidos,0.6724,0.0,0.6724,18
1996,plomo,E3 Semimanufacturas,2851419.0,Canada,0.9274,0.0,0.0076,6
1996,plomo,E4 Manufacturas,1098677.0,Estados Unidos,0.9431,0.0,0.9431,7
1996,silice,E1 Arena silica/cuarzo,241041.0,Estados Unidos,0.4954,0.0,0.4954,8
1996,silice,E2 Silicio/ferrosilicio/SiO2,787171.0,Estados Unidos,0.2953,0.0,0.2953,12
1996,zinc,E1 Mena/concentrado,57037051.0,socio_58,0.4659,0.0,0.0493,14
1996,zinc,E2 Metal en bruto/refinado,80596763.0,Estados Unidos,0.8656,0.0,0.8656,15
1996,zinc,E3 Semimanufacturas,40043533.0,Estados Unidos,0.9727,0.0,0.9727,11
1996,zinc,E4 Manufacturas,978334.0,Estados Unidos,0.8264,0.0,0.8264,15
1997,barita,E1 Crudo/molido,4439673.0,Estados Unidos,1.0,0.0,1.0,1
1997,barita,E2 Quimicos de bario,8189142.0,Estados Unidos,1.0,0.0,1.0,2
