anio,mineral,X_total_usd,X_crudo_usd,X_share_crudo
2008,cobre,1759266293.0,327348222.0,0.1861
2008,fluorita,216848139.0,96728605.0,0.4461
2008,grafito,145429064.0,3017760.0,0.0208
2008,manganeso,56455714.0,9138991.0,0.1619
2008,oro,2678231730.0,16765160.0,0.0063
2008,oro-plata (manufacturas),519809584.0,0.0,0.0
2008,plata,1753328723.0,16080340.0,0.0092
2008,plomo,253111238.0,62018437.0,0.245
2008,silice,16172102.0,1272115.0,0.0787
2008,zinc,550333180.0,105236361.0,0.1912
2009,barita,1263443.0,1255779.0,0.9939
2009,cobre,1224063428.0,288865844.0,0.236
2009,fluorita,213094259.0,91735772.0,0.4305
2009,grafito,61350557.0,2441001.0,0.0398
2009,manganeso,49875680.0,8789243.0,0.1762
2009,oro,4053893562.0,50219852.0,0.0124
2009,oro-plata (manufacturas),519393726.0,0.0,0.0
2009,plata,1439913697.0,30246554.0,0.021
2009,plomo,440820477.0,160425797.0,0.3639
2009,silice,4999403.0,1000043.0,0.2
2009,zinc,533348013.0,136594996.0,0.2561
2010,barita,1886288.0,1827686.0,0.9689
2010,cobre,2051309710.0,684848560.0,0.3339
2010,fluorita,301582790.0,117263814.0,0.3888
2010,grafito,147878155.0,2947104.0,0.0199
2010,manganeso,130170543.0,12943004.0,0.0994
2010,oro,5771840105.0,18554929.0,0.0032
2010,oro-plata (manufacturas),626850851.0,0.0,0.0
2010,plata,2600664292.0,57836501.0,0.0222
2010,plomo,499863530.0,252462298.0,0.5051
2010,silice,4514055.0,1454082.0,0.3221
2010,zinc,806406194.0,328503291.0,0.4074
2011,barita,4380052.0,4366662.0,0.9969
2011,cobre,3403930894.0,1170994128.0,0.344
2011,fluorita,329682083.0,152988640.0,0.464
2011,grafito,141353897.0,5648984.0,0.04
2011,manganeso,106042577.0,3948600.0,0.0372
2011,oro,7872646868.0,151638195.0,0.0193
2011,oro-plata (manufacturas),614406830.0,0.0,0.0
2011,plata,4624568425.0,109669779.0,0.0237
2011,plomo,1253420308.0,927940559.0,0.7403
2011,silice,6514980.0,1665762.0,0.2557
2011,zinc,933073672.0,441759771.0,0.4734
2012,barita,12563332.0,12563124.0,1.0
2012,cobre,3245082999.0,1362964233.0,0.42
2012,fluorita,452097378.0,207835946.0,0.4597
2012,grafito,150094754.0,7342268.0,0.0489
2012,manganeso,89506270.0,3592455.0,0.0401
2012,oro,8144952949.0,170876680.0,0.021
2012,oro-plata (manufacturas),528572883.0,0.0,0.0
2012,plata,4305680953.0,36011593.0,0.0084
2012,plomo,1782682533.0,1556786147.0,0.8733
2012,silice,5698015.0,1047996.0,0.1839
2012,zinc,915715803.0,499961383.0,0.546
2013,barita,28869148.0,28863901.0,0.9998
2013,cobre,2870297196.0,1486416565.0,0.5179
2013,fluorita,376263760.0,164211292.0,0.4364
2013,grafito,145736699.0,7102214.0,0.0487
2013,manganeso,65174283.0,11065299.0,0.1698
2013,oro,6044972725.0,228701307.0,0.0378
2013,oro-plata (manufacturas),510580647.0,0.0,0.0
2013,plata,3123413723.0,2274437.0,0.0007
2013,plomo,1363964835.0,1119233415.0,0.8206
2013,silice,7998309.0,2163162.0,0.2705
2013,zinc,811657605.0,409476638.0,0.5045
2014,cobre,2625722593.0,1170641398.0,0.4458
2014,fluorita,256192763.0,69212880.0,0.2702
2014,grafito,165519415.0,7256629.0,0.0438
2014,manganeso,1260867.0,81079.0,0.0643
2014,oro,3562664186.0,123028351.0,0.0345
2014,oro-plata (manufacturas),583564487.0,0.0,0.0
2014,plata,2222235895.0,935178.0,0.0004
2014,plomo,1312108542.0,1162916141.0,0.8863
2014,silice,6312524.0,1977476.0,0.3133
2014,zinc,579285095.0,309233960.0,0.5338
2015,barita,1595323.0,1595323.0,1.0
2015,cobre,2220094898.0,933983883.0,0.4207
2015,fluorita,242027013.0,59599502.0,0.2463
2015,grafito,106941249.0,102168.0,0.001
2015,manganeso,10887008.0,0.0,0.0
2015,oro,3144364478.0,271995011.0,0.0865
2015,oro-plata (manufacturas),602373143.0,0.0,0.0
2015,plata,1858634682.0,4428927.0,0.0024
2015,plomo,1061517367.0,893177730.0,0.8414
2015,silice,7788406.0,2315668.0,0.2973
2015,zinc,646857950.0,365685096.0,0.5653
2016,barita,0.0,0.0,
2016,cobre,2670487835.0,1323559500.0,0.4956
2016,fluorita,233300042.0,62572145.0,0.2682
2016,grafito,94732986.0,3889142.0,0.0411
2016,manganeso,34454134.0,0.0,0.0
2016,oro,3487693143.0,248450033.0,0.0712
2016,oro-plata (manufacturas),431545958.0,0.0,0.0
2016,plata,1906842918.0,25474960.0,0.0134
2016,plomo,904677379.0,780501188.0,0.8627
2016,silice,7030524.0,1864350.0,0.2652
2016,zinc,780170054.0,564250705.0,0.7232
2017,barita,27260.0,0.0,0.0
2017,cobre,2978452379.0,1568943333.0,0.5268
2017,fluorita,230776774.0,71003890.0,0.3077
2017,grafito,95580419.0,5527568.0,0.0578
2017,manganeso,44965766.0,0.0,0.0
2017,oro,3546096377.0,324859161.0,0.0916
2017,oro-plata (manufacturas),302267048.0,0.0,0.0
2017,plata,1855835345.0,35742289.0,0.0193
2017,plomo,1170086720.0,978705634.0,0.8364
2017,silice,7037943.0,1916205.0,0.2723
2017,zinc,948934970.0,640110077.0,0.6746
2018,barita,0.0,0.0,
2018,cobre,3793769125.0,2318095785.0,0.611
2018,fluorita,235504574.0,73420659.0,0.3118
2018,grafito,193908081.0,5558473.0,0.0287
2018,manganeso,42123346.0,0.0,0.0
2018,oro,3382362728.0,181351369.0,0.0536
2018,oro-plata (manufacturas),353650296.0,0.0,0.0
2018,plata,1708727482.0,36656445.0,0.0215
2018,plomo,984746524.0,770645599.0,0.7826
2018,silice,8701400.0,1977646.0,0.2273
2018,zinc,1235254525.0,795496776.0,0.644
2019,barita,0.0,0.0,
2019,cobre,3686036107.0,2339268612.0,0.6346
2019,fluorita,287110902.0,107197953.0,0.3734
2019,grafito,223269302.0,0.0,0.0
2019,manganeso,45973453.0,0.0,0.0
2019,oro,3485870435.0,217719396.0,0.0625
2019,oro-plata (manufacturas),311536967.0,0.0,0.0
2019,plata,1913567877.0,31927356.0,0.0167
2019,plomo,931389128.0,739121732.0,0.7936
2019,silice,9380304.0,1588593.0,0.1694
2019,zinc,1045767424.0,655723459.0,0.627
2020,barita,0.0,0.0,
2020,cobre,4207498332.0,2878626776.0,0.6842
2020,fluorita,221874264.0,77026577.0,0.3472
2020,grafito,153575037.0,0.0,0.0
2020,manganeso,20023807.0,0.0,0.0
2020,oro,3810267884.0,321417297.0,0.0844
2020,oro-plata (manufacturas),262580578.0,0.0,0.0
2020,plata,2302879794.0,146951579.0,0.0638
2020,plomo,1641373694.0,1482644734.0,0.9033
2020,silice,8791940.0,1391684.0,0.1583
2020,zinc,994375109.0,646136225.0,0.6498
2021,barita,19124233.0,19124233.0,1.0
2021,cobre,4985400522.0,3420948513.0,0.6862
2021,fluorita,110441561.0,91633901.0,0.8297
2021,grafito,159147700.0,2113261.0,0.0133
2021,manganeso,19983315.0,0.0,0.0
2021,oro,3416926612.0,2952263.0,0.0009
2021,oro-plata (manufacturas),455993823.0,0.0,0.0
2021,plata,2571727435.0,28657175.0,0.0111
2021,plomo,1004125978.0,833273184.0,0.8298
2021,silice,13733816.0,2535528.0,0.1846
2021,zinc,541363917.0,248335725.0,0.4587
2022,barita,27236605.0,27236605.0,1.0
2022,cobre,4722669423.0,3137587661.0,0.6644
2022,fluorita,59764423.0,55800331.0,0.9337
2022,grafito,180308198.0,3434484.0,0.019
2022,manganeso,11736794.0,0.0,0.0
2022,oro,3117231105.0,18427502.0,0.0059
2022,oro-plata (manufacturas),447652908.0,0.0,0.0
2022,plata,2371224863.0,88920958.0,0.0375
2022,plomo,946123097.0,746165144.0,0.7887
2022,silice,13109931.0,3108781.0,0.2371
2022,zinc,760598939.0,399116625.0,0.5247
2023,barita,26073174.0,26073174.0,1.0
2023,cobre,4637905569.0,3715931601.0,0.8012
2023,fluorita,75481424.0,66031726.0,0.8748
2023,grafito,147105750.0,1818565.0,0.0124
2023,manganeso,6893582.0,0.0,0.0
2023,oro,3434747761.0,28453111.0,0.0083
2023,oro-plata (manufacturas),405779406.0,0.0,0.0
2023,plata,2799750775.0,117981985.0,0.0421
2023,plomo,965479732.0,836925906.0,0.8668
2023,silice,8107156.0,1897141.0,0.234
2023,zinc,589422587.0,245944426.0,0.4173
2024,barita,13093040.0,13093040.0,1.0
2024,cobre,4590866886.0,3718889902.0,0.8101
2024,fluorita,96185011.0,25305600.0,0.2631
2024,grafito,110604981.0,3808739.0,0.0344
2024,manganeso,14437488.0,0.0,0.0
2024,oro,3715029429.0,37997871.0,0.0102
2024,oro-plata (manufacturas),399152449.0,0.0,0.0
2024,plata,2778875135.0,185098813.0,0.0666
2024,plomo,1270981472.0,1092152844.0,0.8593
2024,silice,10966826.0,1705312.0,0.1555
2024,zinc,725457434.0,577061971.0,0.7954
