anio,pais,pais_nombre,sector,exgr_musd,dva_share,vax_mineria_musd,reproc_domestico_share,crudo_share,foreign_abs_share
2003,FIN,Finlandia,B09,0.5,0.7685,0.6,0.5841,0.4159,0.4426
2003,SWE,Suecia,B05_06,7.1,0.5215,9.6,0.8933,0.1067,0.3677
2003,SWE,Suecia,B07_08,323.8,0.7011,455.1,0.7346,0.2654,0.7178
2003,SWE,Suecia,B09,78.8,0.6247,11.4,0.0104,0.9896,0.98
2004,MEX,Mexico,B05_06,20462.9,0.9662,22865.7,0.1988,0.8012,0.5246
2004,MEX,Mexico,B07_08,910.4,0.8869,1213.5,0.5003,0.4997,0.2611
2004,MEX,Mexico,B09,2.6,0.8777,288.2,0.2018,0.7982,0.0839
2004,CHL,Chile,B05_06,1.0,0.8755,42.8,0.7618,0.2382,0.3466
2004,CHL,Chile,B07_08,15567.6,0.8831,11041.4,0.0345,0.9655,0.8867
2004,CHL,Chile,B09,21.4,0.8991,15.6,0.0371,0.9629,0.3548
2004,AUS,Australia,B05_06,13298.7,0.9145,10840.8,0.1872,0.8128,0.5569
2004,AUS,Australia,B07_08,8763.5,0.8713,7315.1,0.4334,0.5666,0.6998
2004,AUS,Australia,B09,27.4,0.9128,1397.2,0.3444,0.6556,0.4163
2004,FIN,Finlandia,B05_06,20.8,0.6637,47.2,0.8414,0.1586,0.4283
2004,FIN,Finlandia,B07_08,136.3,0.6935,214.4,0.7492,0.2508,0.5714
2004,FIN,Finlandia,B09,0.2,0.6988,0.6,0.8518,0.1482,0.3563
2004,SWE,Suecia,B05_06,10.2,0.5813,14.9,0.8744,0.1256,0.4057
2004,SWE,Suecia,B07_08,430.0,0.7177,704.9,0.7414,0.2586,0.7531
2004,SWE,Suecia,B09,95.5,0.6441,21.3,0.0127,0.9873,0.9793
2005,MEX,Mexico,B05_06,27258.5,0.9666,30395.7,0.1941,0.8059,0.5386
2005,MEX,Mexico,B07_08,1447.7,0.8794,1818.4,0.4937,0.5063,0.3093
2005,MEX,Mexico,B09,3.6,0.8743,344.1,0.1965,0.8035,0.0917
2005,CHL,Chile,B05_06,1.2,0.8846,61.6,0.7746,0.2254,0.3451
2005,CHL,Chile,B07_08,20252.6,0.891,15321.7,0.0433,0.9567,0.8517
2005,CHL,Chile,B09,21.5,0.9037,18.3,0.1179,0.8821,0.2897
2005,AUS,Australia,B05_06,21390.3,0.9293,18050.1,0.1329,0.8671,0.637
2005,AUS,Australia,B07_08,12796.6,0.8885,11942.8,0.3995,0.6005,0.7082
2005,AUS,Australia,B09,32.5,0.906,1728.7,0.2957,0.7043,0.4547
2005,FIN,Finlandia,B05_06,24.7,0.651,57.6,0.8342,0.1658,0.4973
2005,FIN,Finlandia,B07_08,149.8,0.6697,209.8,0.7267,0.2733,0.5736
2005,FIN,Finlandia,B09,0.6,0.7656,0.7,0.5484,0.4516,0.4419
2005,SWE,Suecia,B05_06,9.5,0.602,23.3,0.8869,0.1131,0.4198
2005,SWE,Suecia,B07_08,765.3,0.7437,1145.7,0.6687,0.3313,0.8121
2005,SWE,Suecia,B09,130.0,0.6707,44.3,0.0759,0.9241,0.9013
